reaction_split,split_type,split_level,Symptom_ID,Symptom,Observation,Hypothesis,Experiment,additional_details,representative_entries,source_json,n_entries
Aldehyde reductive amination,reaction_class,3,1,Heterogeneous slurry formation,"A solid or waxy precipitate appears during the reaction, giving a visibly heterogeneous mixture (e.g., waxy solids, lumps of solid reductant, slurry that does not fully dissolve).","improved_mixing_or_impeller_design, change_of_addition_order_or_feed_profile, solvent_change_for_solubility - improving agitation, feeding the solid as a solution, or switching to a solvent that keeps all components in solution should restore homogeneity and give reproducible conversion.","A DoE screening of agitation speed (250 -> 600 rpm), addition mode (single-charge solid vs. split-charge solution), and solvent (2-propanol, MeCN, EtOAc) was performed on a 10 g pilot reactor. The optimal condition combined a 600 rpm impeller, three equal portions of a 1 M NaBH(OAc)₃ solution in EtOAc, and a co-solvent (MeCN) that kept the amine fully dissolved. Conversion rose from 45 % to > 95 % with no visible solids.","The symptom is often first noticed as a ""waxy"" layer on the reactor wall (Pd/C case) or as ""lumpy"" reductant after addition. The remedy may require hardware changes (larger impeller) for very large reactors; the same principle applies to both batch and flow.","21067, 7050, 6570, 18864, 18866",scaleup_generalized_workflow_reaction_class_Aldehyde_reductive_amination_runreaction_class_r23.json,111
Aldehyde reductive amination,reaction_class,3,2,Hydrogen / gas evolution on solid addition,"Rapid evolution of gas (H₂ or HCN) is observed when a solid reductant (e.g., NaBH₄, NaCNBH₃, Na(OAc)₃BH) is added to a protic solvent, sometimes forming bubbles or pressure spikes.","change_of_reductant_or_reduction_protocol, thermal_runaway_mitigation_or_quench_safety_modification - switching to a soluble reductant solution or a less gas-producing reagent, and adding temperature/pressure interlocks, eliminates the gas burst and stabilises the reduction step.","A comparative run replaced solid NaBH₄ with a 1 M NaBH₄ solution in DMSO and introduced a controlled addition pump. Simultaneously, a temperature probe with a 30 °C interlock was installed. On a 5 kg scale the gas evolution was reduced to background levels, pressure stayed below 1 bar gauge, and isolated yield improved from 48 % to 71 %.","For cyanoborohydride routes, the HCN risk is mitigated by isolating the imine first and then reducing with NaBH₄ (non-HCN-generating). The same principle applies to any solid hydride that reacts with protic media.","18864, 17904, 17905, 17906",scaleup_generalized_workflow_reaction_class_Aldehyde_reductive_amination_runreaction_class_r23.json,111
Aldehyde reductive amination,reaction_class,3,3,Exothermic temperature spikes,"During reagent addition (often NaBH(OAc)₃ or NaBH₄) the reactor temperature rises abruptly (10-30 °C above setpoint) within minutes, sometimes exceeding the recommended limit.","temperature_setpoint_or_temperature_ramp_optimization, thermal_runaway_mitigation_or_quench_safety_modification, improved_heat_transfer_or_temperature_control_hardware - lower the addition temperature, add the reagent dropwise, and equip the reactor with efficient cooling jackets or external heat exchangers to keep the temperature within a safe window.","A temperature-ramp study added NaBH(OAc)₃ over 50 min while maintaining the reactor at 17 °C (instead of 25 °C). A stainless-steel jacket with a 5 °C coolant inlet was installed. The maximum temperature rise was limited to 5 °C, and the isolated yield increased from 48 % to 69 % with no impurity formation.","The symptom is often first detected by a temperature probe alarm. For flow reactors, the same principle is achieved by diluting the reductant stream and using a high-surface-area heat-exchange coil.","17904, 17905, 17906",scaleup_generalized_workflow_reaction_class_Aldehyde_reductive_amination_runreaction_class_r23.json,111
Aldehyde reductive amination,reaction_class,3,4,Long reaction time / incomplete conversion,"Reactions require > 12 h (often 24 h) to reach acceptable conversion, and even then a noticeable amount of starting material remains (10-30 %).","temperature_setpoint_or_temperature_ramp_optimization, change_of_reductant_or_reduction_protocol, batch_to_flow_or_flow_process_implementation - raising the temperature (within stability limits), using a more reactive reductant (e.g., 2-picoline.BH₃), or moving to a continuous flow platform shortens the residence time while maintaining selectivity.",A side-by-side comparison was performed: (A) Na(OAc)₃BH at 5 °C for 24 h (baseline) vs. (B) 2-picoline.BH₃ at 50 °C for 1 h. The flow version of (B) used a three-stage plug-flow reactor with 1 min residence per stage. Conversion rose from 70 % to > 99 % and overall throughput increased 12-fold.,"When temperature cannot be increased due to impurity sensitivity, a two-stage addition of reductant (portion-wise) can maintain reducing power over the extended period, as demonstrated for the 20 h ""long-reaction"" case.","19683, 19684, 19685",scaleup_generalized_workflow_reaction_class_Aldehyde_reductive_amination_runreaction_class_r23.json,111
Aldehyde reductive amination,reaction_class,3,5,Batch-to-batch variability,"Assay yields or impurity profiles fluctuate between runs (e.g., 80 % vs 90 % conversion, or variable over-alkylation) even when nominally identical procedures are followed.","change_of_addition_order_or_feed_profile, optimization_of_reagent_stoichiometry, improved_in_process_control_or_analytical_method - standardising semi-batch feeding, tightening stoichiometric windows, and implementing real-time PAT (e.g., inline NMR or viscosity probes) reduce the sources of variability.","A controlled semi-batch feeding protocol (10 % of amine added every 5 min) was programmed on a 5 L reactor, and an inline UV-vis probe monitored imine concentration. Stoichiometry was tightened to 1.3 equiv amine. Yield reproducibility improved from a 15 % spread to < 2 % spread over ten consecutive runs.","Variability can also be linked to raw-material impurity levels; a supplier-variability management program (e.g., tighter acceptance criteria) further stabilises the process.","6051, 6052, 6050",scaleup_generalized_workflow_reaction_class_Aldehyde_reductive_amination_runreaction_class_r23.json,111
Alkene hydrogenation,reaction_class,3,1,Temperature spike,Sudden rise of +10 °C or more in the reactor temperature during hydrogenation (hot-spot formation).,"temperature_setpoint_or_temperature_ramp_optimization, improved_heat_transfer_or_temperature_control_hardware - by controlling the temperature ramp, adding external cooling or upgrading the jacket, the exotherm can be dissipated safely.","A DoE on temperature-ramp rate and external coolant flow was performed in a 5 L autoclave; the optimal ramp (2 °C min⁻¹) and a downstream heat-exchanger kept the temperature <= 30 °C above set-point, eliminating hot-spots and preserving product purity.","The symptom becomes more pronounced when H₂ pressure or substrate concentration is increased; it is also observed with substrates that undergo rapid hydrogen uptake (e.g., α-β-unsaturated aldehydes, pinene). Monitoring with an inline thermocouple is essential.","9449, 5245, 14638",scaleup_generalized_workflow_reaction_class_Alkene_hydrogenation_runreaction_class_r10.json,250
Alkene hydrogenation,reaction_class,3,2,Poor mixing / mass-transfer limitation,"Low conversion or long reaction times despite sufficient catalyst and H₂ pressure; slurry becomes highly viscous or gas-liquid interfacial area appears limited (e.g., ""plateaued conversion"", ""viscous slurry"").","improved_mixing_or_impeller_design, custom_or_novel_reactor_design, phase_behavior_or_biphasic_system_optimization - by installing high-speed impellers, oscillatory baffled reactors or redesigning the vessel to improve gas holdup, the mass-transfer limitation is removed.","Scale-up from 0.5 L to 10 L was tested with a conventional stirrer (ineffective) and then with an OBR (oscillatory baffled reactor). The OBR increased k_La by ~ 3-fold, reducing reaction time from 12 h to 45 min and giving consistent conversion.","The issue is especially acute for neat (solvent-free) substrates (pinene, β-pinene) or highly fluorinated solvents (HFIP). Adding a small co-solvent or increasing gas pressure can also alleviate the limitation, but mechanical mixing improvements are usually more robust.","2122, 15699, 14898, 11363",scaleup_generalized_workflow_reaction_class_Alkene_hydrogenation_runreaction_class_r10.json,250
Alkene hydrogenation,reaction_class,3,3,Catalyst deactivation / activity loss,"Drop in conversion after several batches or cycles, need to increase catalyst loading, or observation of coke/metal leaching on the catalyst after reaction.","replacement_of_unstable_or_impure_reagent, optimization_of_catalyst_loading, process_modeling_or_digital_twin_guided_change - by selecting a more robust catalyst, limiting exposure to high temperatures/pressures, or implementing regeneration steps, catalyst life is extended.","A regeneration protocol (oxidative burn-off at 350 °C) was applied to spent Pd/C after four cycles; activity was restored to > 95 % of the fresh catalyst. Parallel runs with a more stable Pd/alumina catalyst showed no activity loss over ten cycles, allowing a 30 % reduction in catalyst inventory.","Deactivation is accelerated when the reaction mixture contains acidic or basic impurities, high H₂ pressures, or when the substrate is prone to polymerisation. Monitoring metal content in the product stream can provide early warning.","14645, 3775",scaleup_generalized_workflow_reaction_class_Alkene_hydrogenation_runreaction_class_r10.json,250
Alkene hydrogenation,reaction_class,3,4,Pressure / gas-handling safety concern,"Requirement of high H₂ pressure (>= 5 bar) together with pyrophoric or explosive reagents; reports of ""pressure-related safety risk"" or need for special pressure-relief devices.","condition_change_to_reduce_or_remove_process_hazard, pressure_or_gas_headspace_optimization, thermal_runaway_mitigation_or_quench_safety_modification - by lowering the operating pressure (using more active catalysts or transfer-hydrogenation), adding pressure-relief valves, and implementing controlled venting sequences, the hazard is mitigated.","The Ir-catalysed hydrogenation originally run at 5 barg was re-optimised with a more active Rh-BenzP* system, allowing operation at 1 atm H₂. A pressure-relief valve and automated vent-purge cycle were installed; no pressure excursions were observed in 100 h of continuous operation.","Safety concerns are amplified for reactions that generate gases (Mg addition, diimide formation) or when the catalyst becomes pyrophoric after H₂ uptake. Continuous monitoring of pressure and temperature with interlocks is recommended.",16496,scaleup_generalized_workflow_reaction_class_Alkene_hydrogenation_runreaction_class_r10.json,250
Alkene hydrogenation,reaction_class,3,5,Run-to-run variability,Significant batch-to-batch fluctuations in conversion or selectivity (± 10 % or more) without any intentional change in recipe.,"process_modeling_or_digital_twin_guided_change, improved_in_process_control_or_analytical_method, custom_or_novel_reactor_design - by implementing real-time analytics (online GC, IR), building a kinetic model to predict performance, and standardising reactor hardware, variability can be reduced.",An online GC-FID was installed on a 15 L hydrogenation loop; data were fed into a digital twin that adjusted H₂ flow to maintain a constant dissolved H₂ concentration. Over 30 runs the conversion CV dropped from ± 12 % to ± 3 %.,"Variability is especially evident for membrane-based Pd/C cartridges, for reactions with solid substrates, or when the substrate concentration approaches solubility limits. Routine catalyst activity checks and feedstock QC are also effective.",9450,scaleup_generalized_workflow_reaction_class_Alkene_hydrogenation_runreaction_class_r10.json,250
Amide Schotten-Baumann,reaction_class,3,1,Temperature spike,"Reactor temperature climbs above the set-point (e.g., > 4 °C for a 0-2 °C Schotten-Baumann amide) during the feed-rate increase or reagent addition.","temperature_setpoint_or_temperature_ramp_optimization, change_of_base, change_of_primary_reagent 
*Lowering the addition temperature, slowing the feed, or switching to a less-exothermic reagent/base pair reduces the heat-release rate and keeps the reactor within the safe temperature window.*","A DoE on feed-rate, inlet temperature and cooling-jacket flow was performed on a pilot-scale reactor. The optimal condition kept the residence time at 7 min, used a 0 °C inlet slurry and a cooling-jacket set-point of 2 °C. Temperature excursions were limited to <= 1 °C and conversion remained > 90 %.","- The symptom is most acute when the amino-acid feed is increased (e.g., from 10 min to 5 min residence). 
- The same issue appears with highly reactive acid chlorides (e.g., 4-chlorobenzoyl chloride) where HCl evolution is rapid. 
- Monitoring the temperature in real time (inline thermocouples) is essential to catch the spike early.","7112, 1233, 20509, 1505, 1508, 15072, 15136, 16068, 17020, 17047",scaleup_generalized_workflow_reaction_class_Amide_Schotten-Baumann_runreaction_class_r4.json,250
Amide Schotten-Baumann,reaction_class,3,2,Solid precipitation / fouling,"A solid or slurry forms in the reactor or downstream lines (e.g., fine salt precipitate, insoluble lithium salt, or polymeric sludge) that clogs pumps, filters or heat-exchange surfaces.","solvent_change_for_solubility, change_of_primary_reagent, slurry_handling_or_particle_size_optimization, improved_mixing_or_impeller_design 
*Using a more polar co-solvent, switching to a less hygroscopic salt, or adjusting particle size/feeding strategy prevents solid formation and maintains a clear flow.*","The lithium carboxylate was replaced by the sodium analogue (entry 17787) and the acyl chloride was pre-dissolved in 10 % acetonitrile before addition (entry 8430). In a 500 L batch the slurry disappeared, pump pressure stayed constant and overall yield improved from 78 % to 92 %.","- Hygroscopic salts (e.g., Li-carboxylates) are especially problematic at low temperature. 
- In continuous flow, solid fouling can be mitigated by a short residence-time heat-exchange section that keeps the mixture above the solubility limit. 
- Regular hopper tapping and a high-shear impeller (>= 4000 rpm) are effective for cohesive powders (e.g., NCA solids).","4584, 17787, 17788",scaleup_generalized_workflow_reaction_class_Amide_Schotten-Baumann_runreaction_class_r4.json,250
Amide Schotten-Baumann,reaction_class,3,3,Viscous slurry / poor mixing,"The reaction mixture becomes highly viscous or forms a gel-like mass that resists stirring; impeller speed-dependent conversion drops (e.g., 61 % conversion at 5 min residence when the slurry is not fully dispersed).","improved_mixing_or_impeller_design, solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition 
*Increasing impeller speed, adding a low-viscosity co-solvent, or using a micellar additive reduces viscosity and restores homogeneous mixing.*","A high-shear Rushton turbine (4000 rpm) was installed in a 200 L reactor for the NCA-peptide coupling (entry 7111). Conversion rose from 61 % to 71 % and the slurry no longer adhered to the vessel wall. In parallel, adding 2 % TPGS-750-M surfactant (entry 2010) prevented agglomeration in aqueous Schotten-Baumann runs.","- The symptom is often observed when solid reagents are fed as powders (e.g., NCA, lithium salts). 
- Adding a small amount of co-solvent (e.g., 5 % acetonitrile in water) can dramatically lower viscosity without affecting reactivity. 
- Real-time torque monitoring helps flag the onset of a viscous regime.","4584, 17787, 17788",scaleup_generalized_workflow_reaction_class_Amide_Schotten-Baumann_runreaction_class_r4.json,250
Amide Schotten-Baumann,reaction_class,3,4,Impurity surge (by-product formation),"Analytical data (HPLC, GC) shows the sudden appearance of a new peak (e.g., di-acylated impurity, HCN, or dimer) that grows with time or with higher reagent concentration.","change_of_additive, change_of_base, change_of_acid, optimization_of_reagent_stoichiometry, temperature_setpoint_or_temperature_ramp_optimization 
*Limiting the amount of acylating agent, switching to a weaker base, or adding a scavenger (e.g., N-methylmorpholine to trap HCN) suppresses the impurity pathway.*","For the acryloylation of a phenolic amine (entry 17948) the base was changed from TEA to 2,6-lutidine and the acyl chloride feed was slowed. Impurity S-17 dropped from 12 % to < 1 % and overall isolated yield increased from 68 % to 85 %.","- Monitoring the impurity profile in real time (inline HPLC) enables early detection before the impurity exceeds specification. 
- Some impurities (e.g., HCN) are also safety concerns; their suppression is a dual benefit. 
- The impurity trend often correlates with temperature spikes, reinforcing the need to control exotherms.",17788,scaleup_generalized_workflow_reaction_class_Amide_Schotten-Baumann_runreaction_class_r4.json,250
Amide Schotten-Baumann,reaction_class,3,5,Gas evolution / pressure rise,"Rapid gas evolution (CO₂, HCl, NH₃) is observed as bubbling or a pressure increase in a closed reactor; pressure-sensor alarms trigger when the set-point is exceeded.","pressure_or_gas_headspace_optimization, change_of_base, change_of_addition_order_or_feed_profile, improved_quench_or_neutralization 
*Using a controlled addition profile, venting the reactor, or switching to a non-gaseous base (e.g., solid K₂CO₃) mitigates pressure buildup.*",In the CDI-activated amide coupling (entry 21530) the addition of the amine was performed via a semi-batch feed over 30 min while maintaining a nitrogen headspace. The pressure stayed within 1 bar of the set-point and the reaction gave > 99 % conversion without venting issues.,"- For continuous flow, back-pressure regulators (8 bar) were employed to keep the system stable while allowing gas to escape through a vent. 
- Inline pressure monitoring coupled with a feedback-controlled feed pump prevented over-pressurisation. 
- Adding a scavenger (e.g., aqueous NaHCO₃) to neutralise HCl immediately after formation reduces gas evolution.","7112, 17788",scaleup_generalized_workflow_reaction_class_Amide_Schotten-Baumann_runreaction_class_r4.json,250
Amide hydrolysis,reaction_class,3,1,excessive temperature rise,Sudden or uncontrolled increase in reactor temperature (often > 200 °C) during the hydrolysis step.,"temperature_setpoint_or_temperature_ramp_optimization, improved_heat_transfer_or_temperature_control_hardware, thermal_runaway_mitigation_or_quench_safety_modification. 
Lowering the set-point or using a staged temperature ramp reduces the instantaneous heat release; better jacket design or internal coils improves heat removal; controlled quench prevents post-reaction temperature spikes.","A DoE on temperature-ramp profiles was performed: (i) reduce the maximum reaction temperature from 240 °C to 130 °C (11051), (ii) implement a semi-batch addition of LiOH/H₂O₂ over 4 h while maintaining 25 °C (16796), and (iii) install a high-efficiency coil-in-jacket and monitor temperature with a fast-response RTD. The optimized conditions eliminated temperature overshoot in pilot-scale runs.","The severity of the symptom scales with the amount of strong base/oxidant and with solvent boiling points (e.g., DEG vs. propylene glycol). Early detection via inline temperature probes is essential.","11051, 324, 5585, 16796, 1316",scaleup_generalized_workflow_reaction_class_Amide_hydrolysis_runreaction_class_r24.json,96
Amide hydrolysis,reaction_class,3,2,phase separation / poor mixing,"Visible biphasic layers, slurry formation, or high viscosity that leads to uneven reagent distribution (e.g., ""precipitated"" amide, ""viscous"" feed).","solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition, phase_behavior_or_biphasic_system_optimization, improved_mixing_or_impeller_design, change_of_addition_order_or_feed_profile. 
Switching to a single-phase solvent system (e.g., 85 % EtOH/H₂O, 5586), adding a co-solvent to lower viscosity (7611), or using a high-speed impeller (16795) restores homogeneous mixing.","A solvent-screening matrix (EtOH, MeOH, PG, THF) identified 85 % EtOH/H₂O as fully miscible with the substrate and base. The optimal impeller geometry (low-shear pitched-blade) was installed in the CSTR, and the TBAOH/THF streams were fed via three synchronized pumps (16795). Scale-up runs showed no phase separation and > 95 % conversion.",Temperature influences miscibility; the optimal range (24-25 °C) was selected to avoid THF/H₂O phase splitting (16792). Monitoring torque on the agitator can serve as an early warning.,"6177, 6176, 16792, 7611, 5586",scaleup_generalized_workflow_reaction_class_Amide_hydrolysis_runreaction_class_r24.json,96
Amide hydrolysis,reaction_class,3,3,gas evolution spikes,"Rapid generation of gas (O₂, H₂) that raises head-space pressure or creates bubbling, sometimes exceeding safety limits (> 2.5 % v/v O₂).","gas_evolution_or_mass_transfer_management, pressure_or_gas_headspace_optimization, change_of_additive. 
Implementing a nitrogen sweep (16789), controlling addition rate of peroxide (16793), and venting to a scrubber mitigate pressure spikes.",A semi-batch addition of H₂O₂ over 4 h under a continuous N₂ blanket was tested in a 250 mL CSTR equipped with a pressure-relief valve. Inline O₂ sensor triggered automatic shutdown when O₂ > 2 % v/v. The modified protocol eliminated over-pressure events in kilogram-scale runs.,Gas evolution is temperature-dependent; maintaining low reaction temperature (<= 25 °C) reduces O₂ generation rate. Proper vent sizing is critical for safety compliance.,"16789, 16793, 17259, 16795, 16796",scaleup_generalized_workflow_reaction_class_Amide_hydrolysis_runreaction_class_r24.json,96
